sales_volume,temperature,region,product_type,date,regression_target,classification_target,time_series_target
57.45,4.5,East,Electronics,2023-01-01 00:00:00,151.2055081653884,Medium,96.28875897935289
47.93,-5.4,North,Electronics,2023-01-01 01:00:00,132.4787180416482,Low,100.45257967065501
59.72,-6.8,East,Clothing,2023-01-01 02:00:00,141.7687723278715,Medium,100.41218224965355
72.85,-5.8,East,Groceries,2023-01-01 03:00:00,148.12895732561725,Low,101.78974583463608
46.49,16.2,South,Groceries,2023-01-01 04:00:00,131.096254730302,Medium,99.39660774411716
46.49,-7.7,West,Groceries,2023-01-01 05:00:00,121.20102138384215,Low,105.64753704400232
73.69,5.2,East,Clothing,2023-01-01 06:00:00,155.20176916213987,High,107.41524605737818
61.51,23.9,North,Furniture,2023-01-01 07:00:00,152.89092504099955,Low,97.40054373670094
42.96,3.2,South,Electronics,2023-01-01 08:00:00,126.64086057932684,High,96.54060378535794
58.14,24.3,East,Clothing,2023-01-01 09:00:00,143.64410735391164,High,98.8456378871246
43.05,23.5,South,Furniture,2023-01-01 10:00:00,131.20819308435114,High,103.38342964155825
43.01,1.1,North,Clothing,2023-01-01 11:00:00,123.7765736462932,High,105.23150227315296
53.63,22.8,South,Clothing,2023-01-01 12:00:00,147.08021232993207,Low,107.70896625896759
21.3,23.6,West,Furniture,2023-01-01 13:00:00,124.34209320808672,Medium,108.93704709500382
24.13,7.9,East,Groceries,2023-01-01 14:00:00,115.66393737211405,High,106.20524103781707
41.57,-0.5,East,Electronics,2023-01-01 15:00:00,122.16529215497829,Low,105.85384399091247
34.81,13.5,West,Groceries,2023-01-01 16:00:00,127.73431452118295,Medium,113.26306344520782
54.71,31.5,North,Clothing,2023-01-01 17:00:00,156.71430918226662,Medium,105.35608898614164
36.38,18.8,North,Furniture,2023-01-01 18:00:00,134.84033425510717,Medium,108.59361532272285
28.82,-2.2,South,Clothing,2023-01-01 19:00:00,116.16147471727872,High,107.55672395088513
71.98,20.7,East,Groceries,2023-01-01 20:00:00,167.97571018450722,Medium,105.40135305535868
46.61,9.2,North,Groceries,2023-01-01 21:00:00,140.129966860441,Low,105.7459331895903
51.01,16.6,West,Groceries,2023-01-01 22:00:00,151.07962798305988,High,113.49998299500416
28.63,23.0,West,Electronics,2023-01-01 23:00:00,135.69141210876938,Low,106.75010270116354
41.83,13.2,West,Groceries,2023-01-02 00:00:00,136.1137482035844,High,105.7486791688938
51.66,26.6,North,Electronics,2023-01-02 01:00:00,158.73930890370292,High,104.13722039762798
32.74,22.5,West,Electronics,2023-01-02 02:00:00,142.1536283823603,High,110.24534140251752
55.64,17.7,East,Groceries,2023-01-02 03:00:00,154.51990848291987,Medium,105.88181821318899
40.99,-3.2,North,Furniture,2023-01-02 04:00:00,125.39588014404387,High,110.41099154629461
45.62,27.6,North,Clothing,2023-01-02 05:00:00,138.0498761528597,Medium,109.94980294895446
40.97,32.1,East,Clothing,2023-01-02 06:00:00,134.7153191323867,Medium,107.23305151069385
77.78,-3.8,West,Electronics,2023-01-02 07:00:00,155.83896355005464,Medium,102.70050783632445
49.8,12.0,North,Electronics,2023-01-02 08:00:00,138.43165415668344,Medium,104.84036262657494
34.13,1.6,East,Electronics,2023-01-02 09:00:00,127.93292831841445,High,105.9347874486645
62.34,24.0,East,Clothing,2023-01-02 10:00:00,161.04710997539905,Medium,105.58124965140408
31.69,22.5,South,Electronics,2023-01-02 11:00:00,129.87135801989064,Medium,113.18457437062888
53.13,-3.7,West,Furniture,2023-01-02 12:00:00,131.55730207763864,Medium,121.86051705212361
20.6,29.5,West,Furniture,2023-01-02 13:00:00,115.72836245895144,High,108.96565218720386
30.08,-1.9,East,Electronics,2023-01-02 14:00:00,103.33252019913216,High,109.90473650546413
52.95,25.9,North,Clothing,2023-01-02 15:00:00,131.09977988975257,Low,109.2082375371792
61.08,10.6,South,Groceries,2023-01-02 16:00:00,120.43476055234625,Medium,116.72409543668805
52.57,4.8,South,Clothing,2023-01-02 17:00:00,118.29074089641988,Medium,114.87156625563124
48.27,-2.9,North,Groceries,2023-01-02 18:00:00,112.05582604753127,Medium,112.96021211762998
45.48,-2.5,South,Groceries,2023-01-02 19:00:00,106.59243401944077,Low,107.28084413330453
27.82,19.8,North,Electronics,2023-01-02 20:00:00,104.72322275160772,High,108.81011501399452
39.2,14.8,South,Furniture,2023-01-02 21:00:00,107.14982078339742,Low,114.82738089316149
43.09,-4.5,North,Electronics,2023-01-02 22:00:00,87.25651095654862,Medium,115.36878489930261
65.86,-4.9,East,Groceries,2023-01-02 23:00:00,120.05596912268138,High,114.47267464830541
55.15,-6.7,East,Electronics,2023-01-03 00:00:00,111.53596850606667,Low,118.17815475421237
23.55,23.5,South,Groceries,2023-01-03 01:00:00,98.41090330949285,Medium,109.04034377068062
54.86,22.0,South,Electronics,2023-01-03 02:00:00,113.03932925110568,High,116.97029316240965
44.22,-7.4,East,Furniture,2023-01-03 03:00:00,82.35658027539287,Medium,116.99077839071462
39.85,15.2,West,Furniture,2023-01-03 04:00:00,98.4330399231674,High,111.25903174965921
59.18,-6.2,North,Clothing,2023-01-03 05:00:00,110.70673266715974,High,113.32147659474661
65.46,30.7,West,Groceries,2023-01-03 06:00:00,137.94680784715445,Medium,120.10822450076218
63.97,30.8,South,Groceries,2023-01-03 07:00:00,131.2294226551054,Medium,111.24556364924882
37.41,21.4,East,Electronics,2023-01-03 08:00:00,112.83129259499046,Medium,129.55265316968556
45.36,31.7,South,Clothing,2023-01-03 09:00:00,126.59020568471223,Medium,120.30720125770328
54.97,26.5,West,Furniture,2023-01-03 10:00:00,134.9528279264699,Low,117.53561250379563
64.63,27.3,East,Electronics,2023-01-03 11:00:00,145.31168264868614,Medium,116.85473445447863
42.81,15.6,East,Clothing,2023-01-03 12:00:00,114.47074672555561,High,122.34898787702375
47.22,3.8,East,Furniture,2023-01-03 13:00:00,106.10794197182118,High,116.64299012239927
33.4,-0.2,North,Electronics,2023-01-03 14:00:00,90.50085113977936,Medium,117.1391755055958
32.06,4.7,South,Furniture,2023-01-03 15:00:00,95.09704967744493,Medium,126.54396731231238
62.19,18.3,West,Groceries,2023-01-03 16:00:00,119.0988892662292,Medium,117.21273877266097
70.34,-2.2,North,Clothing,2023-01-03 17:00:00,114.49215719150824,High,120.53967553240234
48.92,1.6,West,Furniture,2023-01-03 18:00:00,98.37310964069297,Medium,116.34615928627517
65.05,11.1,North,Clothing,2023-01-03 19:00:00,119.99080808733086,Medium,121.72957739275002
55.42,0.5,East,Electronics,2023-01-03 20:00:00,110.3601657653692,Medium,123.62379564131047
40.32,16.5,North,Clothing,2023-01-03 21:00:00,101.22903612010852,Medium,129.42073129655728
55.42,31.5,South,Electronics,2023-01-03 22:00:00,128.04246696754504,High,116.604210125411
73.07,23.7,South,Clothing,2023-01-03 23:00:00,132.44626782379356,Medium,114.33544367991242
49.46,20.0,West,Electronics,2023-01-04 00:00:00,117.16946503329734,Low,120.52386990147801
73.47,16.2,East,Electronics,2023-01-04 01:00:00,131.72674054155533,Low,119.0543981039279
10.7,12.0,East,Electronics,2023-01-04 02:00:00,80.2303703087222,High,122.34400377869356
62.33,-1.6,West,Furniture,2023-01-04 03:00:00,115.86430760924374,Medium,125.31156618571397
51.31,30.3,South,Groceries,2023-01-04 04:00:00,123.9868448127877,Low,134.3062291198971
45.51,1.2,South,Clothing,2023-01-04 05:00:00,108.16934080496057,High,121.00226870239842
51.38,-5.9,West,Groceries,2023-01-04 06:00:00,111.27263829462822,Medium,112.48534036216874
20.19,23.8,East,Groceries,2023-01-04 07:00:00,105.0888839439809,Medium,122.6242094631645
46.7,-2.1,West,Groceries,2023-01-04 08:00:00,115.66998374570659,Medium,125.8425246174296
55.36,6.7,West,Groceries,2023-01-04 09:00:00,120.67570745107737,High,119.51657495892536
72.17,-8.7,North,Clothing,2023-01-04 10:00:00,127.77270282386732,Low,125.80702121904271
42.23,-3.8,West,Clothing,2023-01-04 11:00:00,103.45135331134064,Medium,125.5989240417763
37.87,-2.2,South,Groceries,2023-01-04 12:00:00,95.21704092180423,Medium,126.48269883489611
42.47,-7.6,West,Clothing,2023-01-04 13:00:00,94.74784145841772,Low,129.41097923743675
63.73,19.5,East,Clothing,2023-01-04 14:00:00,126.22201945359319,Medium,125.31083730105993
54.93,27.7,East,Electronics,2023-01-04 15:00:00,124.5303945935321,High,128.73089050702072
42.05,6.8,South,Clothing,2023-01-04 16:00:00,109.05651831923345,Medium,117.26627861770513
57.7,29.4,East,Furniture,2023-01-04 17:00:00,139.4130639140913,High,121.71603307423712
51.46,-0.4,West,Groceries,2023-01-04 18:00:00,121.20246806787812,Medium,125.08605557119282
64.53,4.6,South,Clothing,2023-01-04 19:00:00,136.74399995292515,High,122.0328212363066
39.47,-3.2,East,Groceries,2023-01-04 20:00:00,113.27254511880342,High,127.35511822189194
